area,Fluorescence,Volume_mm3,brain,species,inj_site,Fluor/Vol
OMCc,6412.843800000001,10997.380000000001,OMC_MMus_220119_b0,MMus,OMC,0.5831246896988191
aud,956.6482400000001,5689.82,OMC_MMus_220119_b0,MMus,OMC,0.16813330474426258
CP,15781.777240000001,25723.74,OMC_MMus_220119_b0,MMus,OMC,0.6135102143000979
AMY,482.82159,3555.58,OMC_MMus_220119_b0,MMus,OMC,0.13579263861310953
TH,10105.07269,19758.36,OMC_MMus_220119_b0,MMus,OMC,0.5114327651687691
HY,1612.60715,11745.380000000001,OMC_MMus_220119_b0,MMus,OMC,0.1372971457713586
SNr,914.7520800000001,1447.98,OMC_MMus_220119_b0,MMus,OMC,0.6317435876186136
SCm,1249.2879400000002,5383.22,OMC_MMus_220119_b0,MMus,OMC,0.23207075690757578
PG,731.0458900000001,808.16,OMC_MMus_220119_b0,MMus,OMC,0.9045806399722829
PAG,740.2905300000001,4448.4800000000005,OMC_MMus_220119_b0,MMus,OMC,0.16641426509729165
BS,1263.3961100000001,5781.24,OMC_MMus_220119_b0,MMus,OMC,0.21853375919352944
OMCc,4167.05796,11605.5,OMC_MMus_220303_b1,MMus,OMC,0.35905889104303995
aud,921.0611000000001,7104.22,OMC_MMus_220303_b1,MMus,OMC,0.12964985600108106
CP,10446.387060000001,27829.62,OMC_MMus_220303_b1,MMus,OMC,0.3753693747884449
AMY,558.8470000000001,4554.32,OMC_MMus_220303_b1,MMus,OMC,0.12270701224332066
TH,5942.3464300000005,21270.36,OMC_MMus_220303_b1,MMus,OMC,0.2793721606028295
HY,1849.3819400000002,14342.220000000001,OMC_MMus_220303_b1,MMus,OMC,0.1289467000227301
SNr,367.20104000000003,1574.1200000000001,OMC_MMus_220303_b1,MMus,OMC,0.23327385459812466
SCm,1137.46821,5733.12,OMC_MMus_220303_b1,MMus,OMC,0.19840300046048226
PG,500.62637000000007,716.76,OMC_MMus_220303_b1,MMus,OMC,0.6984574613538703
PAG,705.2221800000001,4897.08,OMC_MMus_220303_b1,MMus,OMC,0.14400871131368082
BS,167.71153,851.02,OMC_MMus_220303_b1,MMus,OMC,0.1970711969166412
OMCc,3660.5342100000003,12621.7,OMC_MMus_220324_b2,MMus,OMC,0.29001911073785624
aud,1077.1274600000002,6287.02,OMC_MMus_220324_b2,MMus,OMC,0.17132559781899853
CP,8821.33702,26245.16,OMC_MMus_220324_b2,MMus,OMC,0.3361129069131223
AMY,669.28844,4298.04,OMC_MMus_220324_b2,MMus,OMC,0.1557194535183479
TH,5064.371630000001,19609.16,OMC_MMus_220324_b2,MMus,OMC,0.25826560801176596
HY,1841.30708,12819.34,OMC_MMus_220324_b2,MMus,OMC,0.14363509197821417
SNr,324.98145000000005,1358.3,OMC_MMus_220324_b2,MMus,OMC,0.23925601855260256
SCm,1249.2129,5668.28,OMC_MMus_220324_b2,MMus,OMC,0.22038658993557128
PG,296.21037,791.54,OMC_MMus_220324_b2,MMus,OMC,0.3742203426232408
PAG,877.9339600000001,4597.06,OMC_MMus_220324_b2,MMus,OMC,0.19097726808003376
BS,570.3521300000001,3379.5,OMC_MMus_220324_b2,MMus,OMC,0.16876819943778668
OMCc,2504.45984,10694.22,OMC_STeg_220208_b0,STeg,OMC,0.23418817267645514
aud,1048.5398,7178.6,OMC_STeg_220208_b0,STeg,OMC,0.1460646644192461
CP,7482.575500000001,27422.08,OMC_STeg_220208_b0,STeg,OMC,0.272866810249259
AMY,654.16465,4670.900000000001,OMC_STeg_220208_b0,STeg,OMC,0.1400510929371213
TH,4041.4961100000005,21813.100000000002,OMC_STeg_220208_b0,STeg,OMC,0.1852783928006565
HY,1619.5779000000002,11821.54,OMC_STeg_220208_b0,STeg,OMC,0.13700227719907898
SNr,267.97618,1252.06,OMC_STeg_220208_b0,STeg,OMC,0.2140282254844017
SCm,1180.6113,6345.2,OMC_STeg_220208_b0,STeg,OMC,0.1860636859358255
PG,187.75590000000003,931.9,OMC_STeg_220208_b0,STeg,OMC,0.20147644597059775
PAG,714.65597,3985.44,OMC_STeg_220208_b0,STeg,OMC,0.17931670530731864
BS,1220.1452800000002,7540.88,OMC_STeg_220208_b0,STeg,OMC,0.16180409713455196
OMCc,2907.62269,9315.18,OMC_STeg_220411_b1,STeg,OMC,0.31213811112614037
aud,1083.7303800000002,7475.68,OMC_STeg_220411_b1,STeg,OMC,0.14496746516704836
CP,10976.806110000001,24197.68,OMC_STeg_220411_b1,STeg,OMC,0.4536305178843592
AMY,595.9693400000001,4386.18,OMC_STeg_220411_b1,STeg,OMC,0.1358743462420603
TH,4005.4685000000004,20066.66,OMC_STeg_220411_b1,STeg,OMC,0.1996081310990469
HY,1445.64985,10430.800000000001,OMC_STeg_220411_b1,STeg,OMC,0.1385943407984047
SNr,175.09048,943.32,OMC_STeg_220411_b1,STeg,OMC,0.18561090616121784
SCm,1300.3203400000002,6658.66,OMC_STeg_220411_b1,STeg,OMC,0.19528258538504747
PG,209.34816,845.6800000000001,OMC_STeg_220411_b1,STeg,OMC,0.24755008986850818
PAG,679.4424,3996.5,OMC_STeg_220411_b1,STeg,OMC,0.17000935818841487
BS,1057.0894,6653.34,OMC_STeg_220411_b1,STeg,OMC,0.15888101314527742
OMCc,6012.157230000001,9988.5,OMC_STeg_220429_b2,STeg,OMC,0.6019079171046704
aud,929.4043800000001,7302.52,OMC_STeg_220429_b2,STeg,OMC,0.1272717335933349
CP,14117.518210000002,22239.62,OMC_STeg_220429_b2,STeg,OMC,0.6347913413088894
AMY,522.07213,3709.92,OMC_STeg_220429_b2,STeg,OMC,0.14072328513822402
TH,6622.61066,16271.4,OMC_STeg_220429_b2,STeg,OMC,0.4070092714824785
HY,1690.13009,10572.300000000001,OMC_STeg_220429_b2,STeg,OMC,0.15986399269789922
SNr,307.80698,1055.94,OMC_STeg_220429_b2,STeg,OMC,0.2915004451010474
SCm,1292.25799,5598.34,OMC_STeg_220429_b2,STeg,OMC,0.23082877960252504
PG,290.36116000000004,631.9,OMC_STeg_220429_b2,STeg,OMC,0.4595049216648205
PAG,807.49084,3869.04,OMC_STeg_220429_b2,STeg,OMC,0.20870573578975665
BS,674.6917900000001,3665.8,OMC_STeg_220429_b2,STeg,OMC,0.18405035462927602
